Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_129_688,VPWR,li1,322.6900,361.7600,1.799488
FILLER_129_685,VPWR,li1,321.3100,361.7600,1.799415
FILLER_129_682,VPWR,li1,319.9300,361.7600,1.799415
FILLER_129_679,VPWR,li1,318.5500,361.7600,1.799356
FILLER_129_676,VPWR,li1,317.1700,361.7600,1.799282
FILLER_129_673,VPWR,li1,315.7900,361.7600,1.799282
FILLER_129_671,VPWR,li1,314.4100,361.7600,1.799223
FILLER_129_668,VPWR,li1,313.4900,361.7600,1.799164
FILLER_129_665,VPWR,li1,312.1100,361.7600,1.799164
FILLER_129_662,VPWR,li1,310.7300,361.7600,1.799091
FILLER_129_659,VPWR,li1,309.3500,361.7600,1.799032
FILLER_129_656,VPWR,li1,307.9700,361.7600,1.799032
FILLER_129_653,VPWR,li1,306.5900,361.7600,1.798958
FILLER_129_650,VPWR,li1,305.2100,361.7600,1.798899
FILLER_129_647,VPWR,li1,303.8300,361.7600,1.798899
FILLER_129_644,VPWR,li1,302.4500,361.7600,1.798826
FILLER_129_641,VPWR,li1,301.0700,361.7600,1.798767
FILLER_129_638,VPWR,li1,299.6900,361.7600,1.798767
FILLER_129_635,VPWR,li1,298.3100,361.7600,1.798708
FILLER_129_632,VPWR,li1,296.9300,361.7600,1.798634
FILLER_129_629,VPWR,li1,295.5500,361.7600,1.798634
FILLER_129_626,VPWR,li1,294.1700,361.7600,1.798575
FILLER_129_623,VPWR,li1,292.7900,361.7600,1.798502
FILLER_129_620,VPWR,li1,291.4100,361.7600,1.798502
FILLER_129_617,VPWR,li1,290.0300,361.7600,1.798443
FILLER_129_615,VPWR,li1,288.6500,361.7600,1.798384
FILLER_129_612,VPWR,li1,287.7300,361.7600,1.798384
FILLER_129_609,VPWR,li1,286.3500,361.7600,1.798310
FILLER_129_606,VPWR,li1,284.9700,361.7600,1.798251
FILLER_129_603,VPWR,li1,283.5900,361.7600,1.798251
FILLER_129_600,VPWR,li1,282.2100,361.7600,1.798178
FILLER_129_597,VPWR,li1,280.8300,361.7600,1.798119
FILLER_129_594,VPWR,li1,279.4500,361.7600,1.798119
FILLER_129_591,VPWR,li1,278.0700,361.7600,1.798045
FILLER_129_588,VPWR,li1,276.6900,361.7600,1.797986
FILLER_129_585,VPWR,li1,275.3100,361.7600,1.797986
FILLER_129_582,VPWR,li1,273.9300,361.7600,1.797898
FILLER_129_579,VPWR,li1,272.5500,361.7600,1.797898
FILLER_129_576,VPWR,li1,271.1700,361.7600,1.797810
FILLER_129_573,VPWR,li1,269.7900,361.7600,1.797810
FILLER_129_570,VPWR,li1,268.4100,361.7600,1.797721
FILLER_129_567,VPWR,li1,267.0300,361.7600,1.797721
FILLER_129_564,VPWR,li1,265.6500,361.7600,1.797633
FILLER_129_561,VPWR,li1,264.2700,361.7600,1.797633
FILLER_129_559,VPWR,li1,262.8900,361.7600,1.797559
FILLER_129_556,VPWR,li1,261.9700,361.7600,1.797559
FILLER_129_553,VPWR,li1,260.5900,361.7600,1.797497
FILLER_129_550,VPWR,li1,259.2100,361.7600,1.797449
FILLER_129_547,VPWR,li1,257.8300,361.7600,1.797449
FILLER_129_503,VPWR,li1,237.1300,361.7600,1.796967
FILLER_129_498,VPWR,li1,234.8300,361.7600,1.796922
FILLER_129_495,VPWR,li1,233.9100,361.7600,1.796978
FILLER_129_492,VPWR,li1,232.5300,361.7600,1.796978
