net,length_um
net1179,6.76µm
_0184_,6.74µm
_1138_,6.74µm
_2785_,6.74µm
_2883_,6.74µm
_4059_,6.74µm
_4306_,6.74µm
net366,6.74µm
_1251_,6.72µm
_1342_,6.72µm
_1437_,6.72µm
_2411_,6.72µm
_2768_,6.72µm
_3084_,6.72µm
_3536_,6.72µm
_3574_,6.72µm
_3705_,6.72µm
_3895_,6.72µm
_4269_,6.72µm
_4472_,6.72µm
net1237,6.72µm
_0342_,6.7µm
_2081_,6.7µm
_4373_,6.7µm
_4448_,6.7µm
_4461_,6.7µm
_1357_,6.66µm
_1391_,6.66µm
_3082_,6.66µm
net995,6.66µm
net1094,6.66µm
_0338_,6.65µm
_0565_,6.64µm
_2027_,6.64µm
_2195_,6.64µm
_2508_,6.64µm
_3469_,6.64µm
_4138_,6.64µm
_4284_,6.64µm
_4437_,6.64µm
net756,6.64µm
net927,6.64µm
net1142,6.64µm
_4387_,6.63µm
_0059_,6.62µm
_3024_,6.62µm
net169,6.62µm
net682,6.62µm
_1533_,6.605µm
_0131_,6.6µm
_1122_,6.6µm
_1234_,6.6µm
_1355_,6.6µm
_1416_,6.6µm
_1506_,6.6µm
_1649_,6.6µm
_2016_,6.6µm
_2333_,6.6µm
_2730_,6.6µm
_2775_,6.6µm
_2945_,6.6µm
_3870_,6.6µm
data_reg\[16\]\[11\],6.6µm
_1825_,6.59µm
_1232_,6.58µm
_1512_,6.58µm
_1972_,6.58µm
_2996_,6.58µm
_4275_,6.58µm
_1064_,6.54µm
net1119,6.54µm
_0263_,6.52µm
_1418_,6.52µm
_1894_,6.52µm
_2358_,6.52µm
_2780_,6.505µm
_1178_,6.5µm
_3585_,6.5µm
_0373_,6.48µm
net471,6.48µm
_0703_,6.48µm
_1829_,6.48µm
_2713_,6.48µm
_2758_,6.48µm
_3164_,6.48µm
_4072_,6.48µm
net588,6.48µm
_0180_,6.46µm
net810,6.44µm
net814,6.44µm
net954,6.44µm
net974,6.44µm
net1255,6.44µm
_0207_,6.42µm
_0721_,6.42µm
net1016,6.42µm
_0295_,6.415µm
_0374_,6.4µm
_1125_,6.4µm
_2897_,6.4µm
_4123_,6.4µm
_0248_,6.38µm
_0271_,6.38µm
_1376_,6.38µm
_3989_,6.38µm
data_reg\[3\]\[12\],6.38µm
_1258_,6.36µm
_1401_,6.36µm
_1406_,6.36µm
_2202_,6.36µm
_2762_,6.36µm
_4162_,6.36µm
_0487_,6.325µm
_0308_,6.32µm
_0936_,6.32µm
_4308_,6.32µm
net1025,6.32µm
net1106,6.32µm
_1328_,6.3µm
_1751_,6.3µm
_2325_,6.3µm
_2459_,6.3µm
_2723_,6.3µm
_3698_,6.3µm
_3824_,6.3µm
_3962_,6.3µm
net232,6.3µm
net764,6.3µm
net844,6.3µm
net851,6.3µm
net975,6.3µm
net994,6.3µm
net1218,6.3µm
_1243_,6.28µm
_1777_,6.28µm
_2146_,6.28µm
_2271_,6.28µm
_2907_,6.28µm
_4296_,6.28µm
net469,6.28µm
_0509_,6.26µm
_0726_,6.26µm
_1221_,6.26µm
_1384_,6.26µm
_1798_,6.26µm
_2234_,6.26µm
_2967_,6.26µm
_3023_,6.26µm
_3997_,6.26µm
_4108_,6.26µm
_4427_,6.26µm
_4429_,6.26µm
_4431_,6.26µm
net219,6.26µm
net535,6.26µm
net576,6.26µm
_4270_,6.25µm
_1018_,6.24µm
_1552_,6.24µm
_4103_,6.24µm
_4213_,6.24µm
_4228_,6.24µm
_4309_,6.24µm
_4310_,6.24µm
_4343_,6.24µm
_4357_,6.24µm
_4322_,6.21µm
_0573_,6.2µm
_1981_,6.2µm
_3323_,6.2µm
_3560_,6.2µm
_4324_,6.2µm
_4326_,6.2µm
_1077_,6.18µm
_1387_,6.18µm
_1780_,6.18µm
_2268_,6.18µm
_2597_,6.18µm
_2964_,6.18µm
_3387_,6.18µm
net606,6.18µm
net903,6.18µm
net1092,6.18µm
net1167,6.18µm
_1573_,6.16µm
_3115_,6.16µm
net1120,6.16µm
_0407_,6.14µm
_1107_,6.14µm
_1119_,6.14µm
_1770_,6.14µm
_2036_,6.14µm
_2391_,6.14µm
_3533_,6.14µm
_3589_,6.14µm
_3590_,6.14µm
_4113_,6.14µm
net450,6.14µm
net459,6.14µm
_0521_,6.12µm
_3258_,6.12µm
_3794_,6.12µm
_4346_,6.12µm
_4400_,6.12µm
_4443_,6.12µm
net815,6.105µm
_1788_,6.08µm
net1112,6.08µm
_1502_,6.06µm
_1600_,6.06µm
_2014_,6.06µm
_2380_,6.06µm
_3059_,6.06µm
_3668_,6.06µm
data_reg\[5\]\[5\],6.06µm
net350,6.06µm
net1103,6.06µm
_4225_,6.05µm
_4262_,6.05µm
_0387_,6.04µm
_1550_,6.04µm
_1952_,6.04µm
_3007_,6.04µm
_0239_,6.02µm
_0888_,6.02µm
_0890_,6.02µm
_1129_,6.02µm
_1347_,6.02µm
_2029_,6.02µm
_2086_,6.02µm
_2089_,6.02µm
_2649_,6.02µm
_2863_,6.02µm
_3176_,6.02µm
_3324_,6.02µm
_3656_,6.02µm
_4026_,6.02µm
net1156,6.02µm
net1194,6.02µm
_2487_,5.98µm
_2541_,5.98µm
_3683_,5.98µm
net1100,5.98µm
net1140,5.98µm
net1171,5.98µm
net1248,5.98µm
_0095_,5.96µm
_0264_,5.96µm
_2499_,5.96µm
net1040,5.96µm
_3458_,5.945µm
_1878_,5.94µm
_2097_,5.94µm
_2134_,5.94µm
_2430_,5.94µm
_2784_,5.94µm
_2878_,5.94µm
_3105_,5.94µm
_3340_,5.94µm
_3496_,5.94µm
_4201_,5.94µm
_0452_,5.92µm
_2917_,5.92µm
_0995_,5.9µm
_3557_,5.9µm
_3635_,5.9µm
_4268_,5.89µm
_0267_,5.86µm
_2034_,5.86µm
_2979_,5.86µm
_3021_,5.86µm
net973,5.86µm
net1252,5.86µm
_1071_,5.85µm
_0151_,5.84µm
_0167_,5.84µm
_0310_,5.84µm
_0737_,5.84µm
_0860_,5.84µm
_0862_,5.84µm
_1547_,5.84µm
_1819_,5.84µm
_2475_,5.84µm
_2835_,5.84µm
_2981_,5.84µm
_3552_,5.84µm
_3960_,5.84µm
net766,5.84µm
net834,5.84µm
net836,5.84µm
net855,5.84µm
net958,5.84µm
net986,5.84µm
net1072,5.84µm
net1090,5.84µm
net1126,5.84µm
net1204,5.84µm
_4055_,5.83µm
_0348_,5.82µm
_1109_,5.82µm
_1126_,5.82µm
_2224_,5.82µm
_3511_,5.82µm
_4299_,5.82µm
_0876_,5.8µm
_1116_,5.8µm
_1286_,5.8µm
_1790_,5.8µm
_2165_,5.8µm
_2596_,5.8µm
_2643_,5.8µm
_2682_,5.8µm
_2935_,5.8µm
_3152_,5.8µm
_3285_,5.8µm
_3298_,5.8µm
_3659_,5.8µm
_3809_,5.8µm
_3863_,5.8µm
_4158_,5.8µm
_4182_,5.8µm
_4235_,5.8µm
_4300_,5.8µm
_4411_,5.8µm
_4493_,5.8µm
net26,5.8µm
net228,5.8µm
net568,5.8µm
net933,5.8µm
net1113,5.8µm
_0237_,5.78µm
_0343_,5.78µm
_0987_,5.78µm
_1060_,5.78µm
_1933_,5.78µm
_2078_,5.78µm
_2493_,5.78µm
_3077_,5.78µm
_4222_,5.78µm
_4223_,5.78µm
_4240_,5.78µm
_4257_,5.78µm
_4259_,5.78µm
_4327_,5.78µm
_4388_,5.78µm
_4393_,5.78µm
_4412_,5.78µm
_4413_,5.78µm
_4418_,5.78µm
_4433_,5.78µm
_4467_,5.78µm
_0923_,5.74µm
net225,5.74µm
net221,5.74µm
net476,5.74µm
net1116,5.74µm
_0079_,5.72µm
_0317_,5.72µm
_0549_,5.72µm
_0642_,5.72µm
_0785_,5.72µm
_0916_,5.72µm
_1551_,5.72µm
_2103_,5.72µm
_2361_,5.72µm
_2609_,5.72µm
_3306_,5.72µm
_3412_,5.72µm
_3565_,5.72µm
_3806_,5.72µm
_3860_,5.72µm
_3995_,5.72µm
_4136_,5.72µm
_4178_,5.72µm
net1121,5.72µm
_4384_,5.71µm
_0091_,5.7µm
_0478_,5.7µm
_1614_,5.7µm
_2352_,5.7µm
_2628_,5.7µm
_3060_,5.7µm
_3362_,5.7µm
net945,5.7µm
_0607_,5.68µm
_1098_,5.68µm
_1597_,5.68µm
_1632_,5.68µm
_1720_,5.68µm
_1857_,5.68µm
_2168_,5.68µm
_2302_,5.68µm
_2360_,5.68µm
_2695_,5.68µm
_3371_,5.68µm
_3422_,5.68µm
_3449_,5.68µm
_3502_,5.68µm
_3621_,5.68µm
_3724_,5.68µm
_3876_,5.68µm
_4143_,5.68µm
_4150_,5.68µm
net439,5.68µm
net465,5.68µm
net598,5.68µm
_0648_,5.62µm
_3538_,5.62µm
net1197,5.62µm
_0364_,5.6µm
_1139_,5.6µm
_2665_,5.6µm
_3542_,5.6µm
_3675_,5.6µm
net20,5.6µm
net432,5.6µm
net1222,5.6µm
_1239_,5.595µm
_1323_,5.58µm
_1528_,5.58µm
_1688_,5.58µm
_0999_,5.575µm
_3732_,5.575µm
_1824_,5.56µm
_1877_,5.56µm
_2083_,5.56µm
_3144_,5.56µm
_3549_,5.56µm
_3893_,5.56µm
_4106_,5.56µm
_4283_,5.56µm
_2350_,5.53µm
net809,5.52µm
net944,5.52µm
net987,5.52µm
net1013,5.52µm
net1137,5.52µm
net1152,5.52µm
net1231,5.52µm
_0084_,5.5µm
_0111_,5.5µm
_0147_,5.5µm
_0258_,5.5µm
_0543_,5.5µm
_0444_,5.48µm
_0507_,5.48µm
_1264_,5.48µm
_1928_,5.48µm
_2096_,5.48µm
_2374_,5.48µm
_2621_,5.48µm
_2875_,5.48µm
_3440_,5.48µm
_3550_,5.48µm
net830,5.48µm
_0031_,5.46µm
_0192_,5.46µm
_0286_,5.46µm
_2721_,5.46µm
_3733_,5.46µm
_4044_,5.46µm
net531,5.46µm
_1206_,5.44µm
_2408_,5.44µm
_3095_,5.44µm
_4289_,5.43µm
_4444_,5.43µm
_0458_,5.425µm
_0337_,5.4µm
_1343_,5.4µm
_3810_,5.4µm
_4027_,5.4µm
_1741_,5.385µm
_0296_,5.38µm
_0829_,5.38µm
_0852_,5.38µm
_1332_,5.38µm
_1516_,5.38µm
_1963_,5.38µm
_2050_,5.38µm
_2305_,5.38µm
_2563_,5.38µm
_2603_,5.38µm
_2812_,5.38µm
net579,5.38µm
net777,5.38µm
net804,5.38µm
net885,5.38µm
net968,5.38µm
_1247_,5.36µm
_1525_,5.36µm
_2061_,5.36µm
_2093_,5.36µm
_3075_,5.36µm
_3434_,5.36µm
_3488_,5.36µm
_0159_,5.34µm
_0169_,5.34µm
_0171_,5.34µm
_0227_,5.34µm
_0332_,5.34µm
_0442_,5.34µm
_0634_,5.34µm
_0793_,5.34µm
_0821_,5.34µm
_1443_,5.34µm
_1677_,5.34µm
_1914_,5.34µm
_2119_,5.34µm
_2546_,5.34µm
_2654_,5.34µm
_2832_,5.34µm
_2911_,5.34µm
_3091_,5.34µm
_3291_,5.34µm
_3356_,5.34µm
_3432_,5.34µm
_4214_,5.34µm
_4295_,5.34µm
_4454_,5.34µm
net1020,5.34µm
net1077,5.34µm
net1091,5.34µm
_1188_,5.295µm
_4347_,5.29µm
_2258_,5.28µm
_4104_,5.28µm
_4319_,5.28µm
net889,5.28µm
net931,5.28µm
net1017,5.28µm
_1115_,5.27µm
_4486_,5.27µm
_3313_,5.265µm
_0075_,5.26µm
_0297_,5.26µm
_0464_,5.26µm
_1999_,5.26µm
_2257_,5.26µm
_2369_,5.26µm
_3035_,5.26µm
_3080_,5.26µm
_3103_,5.26µm
_3325_,5.26µm
_3364_,5.26µm
_3808_,5.26µm
_4468_,5.26µm
net36,5.26µm
net786,5.26µm
net911,5.26µm
net1245,5.26µm
_4475_,5.25µm
_3041_,5.24µm
_3240_,5.24µm
_0185_,5.22µm
_0595_,5.22µm
_0845_,5.22µm
_1271_,5.22µm
_1339_,5.22µm
_2124_,5.22µm
_2205_,5.22µm
_2345_,5.22µm
_2531_,5.22µm
_2557_,5.22µm
_2574_,5.22µm
_2720_,5.22µm
_2765_,5.22µm
_3099_,5.22µm
_3378_,5.22µm
_3461_,5.22µm
_3487_,5.22µm
_3581_,5.22µm
_3655_,5.22µm
_3730_,5.22µm
_4016_,5.22µm
_4168_,5.22µm
net44,5.22µm
net612,5.22µm
_3119_,5.16µm
_3320_,5.16µm
_2256_,5.145µm
_0039_,5.14µm
_0942_,5.14µm
_2272_,5.14µm
_2465_,5.14µm
_2467_,5.14µm
_2592_,5.14µm
_3670_,5.14µm
_0129_,5.12µm
_1973_,5.12µm
_3604_,5.12µm
net1163,5.12µm
_1205_,5.1µm
_1921_,5.1µm
_2035_,5.1µm
_2188_,5.1µm
_2476_,5.1µm
_2638_,5.1µm
_2966_,5.1µm
_3353_,5.1µm
_3367_,5.1µm
_3532_,5.1µm
_3640_,5.1µm
_3702_,5.1µm
_4041_,5.1µm
_4173_,5.1µm
_1272_,5.06µm
_3243_,5.06µm
net768,5.06µm
net795,5.06µm
net805,5.06µm
net816,5.06µm
net871,5.06µm
net923,5.06µm
net1122,5.06µm
net1196,5.06µm
_0272_,5.04µm
_0278_,5.04µm
_2294_,5.04µm
_3204_,5.04µm
net788,5.04µm
net796,5.04µm
net1220,5.04µm
_0023_,5.02µm
_0304_,5.02µm
_0450_,5.02µm
_0537_,5.02µm
_0850_,5.02µm
_1208_,5.02µm
_1460_,5.02µm
_1917_,5.02µm
_2379_,5.02µm
_2433_,5.02µm
_2490_,5.02µm
_2684_,5.02µm
net685,5.02µm
net828,5.02µm
_0029_,5µm
_0251_,5µm
_0262_,5µm
_0817_,5µm
_2973_,5µm
_3985_,5µm
_0841_,4.975µm
_0951_,4.94µm
_2292_,4.94µm
_3710_,4.94µm
_4369_,4.94µm
net760,4.94µm
net771,4.94µm
net781,4.94µm
net899,4.94µm
net907,4.94µm
net948,4.94µm
net984,4.94µm
net996,4.94µm
net1036,4.94µm
net1039,4.94µm
net1059,4.94µm
net1069,4.94µm
net1195,4.94µm
net1205,4.94µm
net1212,4.94µm
net1229,4.94µm
_4381_,4.93µm
_0254_,4.92µm
_0257_,4.92µm
_0366_,4.92µm
_0369_,4.92µm
_1156_,4.92µm
_1329_,4.92µm
_1570_,4.92µm
_1683_,4.92µm
_2542_,4.92µm
_3691_,4.92µm
_3832_,4.92µm
_3840_,4.92µm
_4316_,4.92µm
net683,4.92µm
net762,4.92µm
net808,4.92µm
net849,4.92µm
net1143,4.92µm
net1210,4.92µm
net1249,4.92µm
_0725_,4.9µm
_1031_,4.9µm
_2950_,4.9µm
_2965_,4.9µm
_3755_,4.9µm
_0055_,4.88µm
_0165_,4.88µm
_0168_,4.88µm
_0196_,4.88µm
_0205_,4.88µm
_0628_,4.88µm
_1012_,4.88µm
_1041_,4.88µm
_1467_,4.88µm
_1749_,4.88µm
_1930_,4.88µm
_1989_,4.88µm
_3061_,4.88µm
_3238_,4.88µm
_4219_,4.88µm
_4255_,4.88µm
_4297_,4.88µm
_4366_,4.88µm
_4399_,4.88µm
_4479_,4.88µm
data_reg\[11\]\[9\],4.88µm
net591,4.88µm
net817,4.88µm
net1088,4.88µm
net1109,4.88µm
_3541_,4.86µm
_4323_,4.83µm
_3489_,4.825µm
_0174_,4.82µm
_1855_,4.82µm
_1925_,4.82µm
_2886_,4.82µm
_4248_,4.82µm
_4321_,4.82µm
_0287_,4.8µm
_0897_,4.8µm
_1265_,4.8µm
_1287_,4.8µm
_1351_,4.8µm
_1363_,4.8µm
_1400_,4.8µm
_1448_,4.8µm
_2189_,4.8µm
_2285_,4.8µm
_2344_,4.8µm
_2565_,4.8µm
_2711_,4.8µm
_3286_,4.8µm
_3486_,4.8µm
_3811_,4.8µm
_3920_,4.8µm
_4019_,4.8µm
_4067_,4.8µm
_4073_,4.8µm
_4313_,4.8µm
net494,4.8µm
net838,4.8µm
net909,4.8µm
net1087,4.8µm
_1325_,4.78µm
_3351_,4.78µm
_3796_,4.78µm
_0618_,4.76µm
_0837_,4.76µm
_1510_,4.76µm
_2028_,4.76µm
_2153_,4.76µm
_2397_,4.76µm
_2543_,4.76µm
_3259_,4.76µm
_3302_,4.76µm
_3374_,4.76µm
_4186_,4.76µm
net423,4.76µm
_4252_,4.73µm
net498,4.73µm
_1986_,4.705µm
_0944_,4.7µm
_1340_,4.7µm
net1071,4.7µm
net1174,4.7µm
net1200,4.7µm
_0026_,4.68µm
_0473_,4.68µm
_1176_,4.68µm
_1255_,4.68µm
_1375_,4.68µm
_1662_,4.68µm
_1858_,4.68µm
_2010_,4.68µm
_2125_,4.68µm
_2398_,4.68µm
_2676_,4.68µm
_3139_,4.68µm
_3360_,4.68µm
_3601_,4.68µm
_4473_,4.68µm
net25,4.68µm
net858,4.66µm
_2616_,4.64µm
_4274_,4.635µm
_4386_,4.635µm
_4403_,4.635µm
_1225_,4.6µm
_1696_,4.6µm
_1767_,4.6µm
_3081_,4.6µm
net803,4.6µm
net853,4.6µm
net863,4.6µm
net873,4.6µm
net875,4.6µm
net881,4.6µm
net888,4.6µm
net893,4.6µm
net936,4.6µm
net1001,4.6µm
net1004,4.6µm
net1011,4.6µm
net1028,4.6µm
net1034,4.6µm
net1148,4.6µm
net1172,4.6µm
net1214,4.6µm
net1227,4.6µm
_0033_,4.58µm
_0126_,4.58µm
_0457_,4.58µm
_2942_,4.58µm
net800,4.58µm
_0068_,4.56µm
_0758_,4.56µm
_0946_,4.56µm
_1090_,4.56µm
_1421_,4.56µm
_1687_,4.56µm
_2002_,4.56µm
_2803_,4.56µm
_3106_,4.56µm
_3425_,4.56µm
_2241_,4.555µm
_4050_,4.555µm
_0071_,4.54µm
_0077_,4.54µm
_0144_,4.54µm
_0150_,4.54µm
_0354_,4.54µm
_1529_,4.54µm
_1959_,4.54µm
_2651_,4.54µm
_3036_,4.54µm
_3194_,4.54µm
_3447_,4.54µm
_2332_,4.52µm
_3829_,4.51µm
_0340_,4.48µm
_1424_,4.48µm
_2988_,4.48µm
_3729_,4.48µm
_3996_,4.48µm
_4131_,4.48µm
_4195_,4.48µm
_4318_,4.48µm
_0092_,4.46µm
_0105_,4.46µm
_0138_,4.46µm
_0274_,4.46µm
_0307_,4.46µm
_0722_,4.46µm
_0960_,4.46µm
_1289_,4.46µm
_1433_,4.46µm
_1678_,4.46µm
_1863_,4.46µm
_1964_,4.46µm
_2127_,4.46µm
_2239_,4.46µm
_2985_,4.46µm
_3113_,4.46µm
_3166_,4.46µm
_3526_,4.46µm
_3899_,4.46µm
_3986_,4.46µm
_4045_,4.46µm
_4379_,4.46µm
net427,4.46µm
net483,4.46µm
net507,4.46µm
net549,4.46µm
net750,4.46µm
net811,4.46µm
net1257,4.46µm
_2113_,4.44µm
_2208_,4.44µm
_2247_,4.44µm
_3559_,4.44µm
_3916_,4.44µm
_4409_,4.44µm
_0161_,4.42µm
_0162_,4.42µm
_0164_,4.42µm
_0175_,4.42µm
_0563_,4.42µm
_1035_,4.42µm
_1169_,4.42µm
_1457_,4.42µm
_1629_,4.42µm
_1909_,4.42µm
_2054_,4.42µm
_2589_,4.42µm
_2619_,4.42µm
_3288_,4.42µm
_3423_,4.42µm
_3592_,4.42µm
_3626_,4.42µm
_3726_,4.42µm
_4208_,4.42µm
_4218_,4.42µm
_4484_,4.42µm
_4494_,4.42µm
net592,4.42µm
_2666_,4.37µm
_1444_,4.36µm
_2545_,4.36µm
_4415_,4.36µm
net610,4.36µm
_0493_,4.34µm
_0572_,4.34µm
_0615_,4.34µm
_0639_,4.34µm
_0683_,4.34µm
_0698_,4.34µm
_0929_,4.34µm
_1079_,4.34µm
_1146_,4.34µm
_1224_,4.34µm
_1530_,4.34µm
_1706_,4.34µm
_1750_,4.34µm
_1812_,4.34µm
_1890_,4.34µm
_1950_,4.34µm
_1980_,4.34µm
_1992_,4.34µm
_2101_,4.34µm
_2254_,4.34µm
_2449_,4.34µm
_2860_,4.34µm
_2879_,4.34µm
_2936_,4.34µm
_3032_,4.34µm
_3087_,4.34µm
_3121_,4.34µm
_3195_,4.34µm
_3475_,4.34µm
_3505_,4.34µm
_3558_,4.34µm
_3572_,4.34µm
_3631_,4.34µm
_3700_,4.34µm
_3721_,4.34µm
_3803_,4.34µm
_3837_,4.34µm
_3921_,4.34µm
_3957_,4.34µm
_4187_,4.34µm
net441,4.34µm
net955,4.34µm
net1208,4.34µm
_0499_,4.32µm
_1409_,4.32µm
_3800_,4.32µm
_4285_,4.27µm
_2848_,4.24µm
net988,4.24µm
net1037,4.24µm
net1057,4.24µm
_1831_,4.23µm
_0329_,4.22µm
_0569_,4.22µm
_0644_,4.22µm
_1058_,4.22µm
_1285_,4.22µm
_1833_,4.22µm
_2082_,4.22µm
_2517_,4.22µm
_2958_,4.22µm
_3003_,4.22µm
_3375_,4.22µm
_3677_,4.22µm
net564,4.22µm
net1134,4.22µm
_1257_,4.215µm
_1164_,4.2µm
_1691_,4.2µm
_3190_,4.2µm
_1113_,4.195µm
_4076_,4.195µm
_0972_,4.15µm
_3687_,4.15µm
_0189_,4.145µm
_0720_,4.14µm
_0871_,4.14µm
_2692_,4.14µm
_2846_,4.14µm
_3373_,4.14µm
net30,4.14µm
_0061_,4.12µm
_0122_,4.12µm
_0136_,4.12µm
_0187_,4.12µm
_0238_,4.12µm
_0275_,4.12µm
_0277_,4.12µm
_0291_,4.12µm
_0350_,4.12µm
_0955_,4.12µm
_3170_,4.12µm
_3229_,4.12µm
_3817_,4.12µm
net1232,4.12µm
_1320_,4.1µm
_1594_,4.1µm
_1716_,4.1µm
_2994_,4.1µm
_3040_,4.1µm
_3045_,4.1µm
_3169_,4.1µm
_3605_,4.1µm
_3945_,4.1µm
_3948_,4.1µm
_3958_,4.1µm
data_reg\[13\]\[5\],4.1µm
_0106_,4.08µm
_2610_,4.08µm
_4325_,4.05µm
_4389_,4.05µm
_4024_,4.045µm
_0163_,4.02µm
_0201_,4.02µm
_0315_,4.02µm
_0333_,4.02µm
_0339_,4.02µm
_0349_,4.02µm
_0362_,4.02µm
_1459_,4.02µm
_1823_,4.02µm
_2385_,4.02µm
_2725_,4.02µm
_3207_,4.02µm
_3389_,4.02µm
_4212_,4.02µm
_4239_,4.02µm
_4247_,4.02µm
_4258_,4.02µm
_4276_,4.02µm
_4281_,4.02µm
_4286_,4.02µm
_4311_,4.02µm
_4356_,4.02µm
_4358_,4.02µm
_4375_,4.02µm
_4383_,4.02µm
_4420_,4.02µm
_4438_,4.02µm
_4447_,4.02µm
_4451_,4.02µm
_4457_,4.02µm
_4469_,4.02µm
_4476_,4.02µm
_4477_,4.02µm
_4487_,4.02µm
_4497_,4.02µm
_0022_,4µm
_0069_,4µm
_0088_,4µm
_0112_,4µm
_0148_,4µm
_0226_,4µm
_0230_,4µm
_0246_,4µm
_0247_,4µm
_0261_,4µm
_0269_,4µm
_0301_,4µm
_0306_,4µm
_0322_,4µm
_0475_,4µm
_0918_,4µm
_1068_,4µm
_1227_,4µm
_1316_,4µm
_1431_,4µm
_1539_,4µm
net500,4µm
_1891_,4µm
_2567_,4µm
_3158_,4µm
_3329_,4µm
_3342_,4µm
_3636_,4µm
_3711_,4µm
_3875_,4µm
_3901_,4µm
_4163_,4µm
_4471_,4µm
net556,4µm
net769,4µm
net1050,4µm
net1181,4µm
_0331_,3.98µm
_1684_,3.98µm
_1714_,3.98µm
_2602_,3.98µm
_2646_,3.98µm
_4224_,3.98µm
_4254_,3.98µm
_4405_,3.98µm
_2627_,3.925µm
_4279_,3.91µm
_0553_,3.9µm
_0582_,3.9µm
_0646_,3.9µm
_2617_,3.9µm
_4149_,3.9µm
_4301_,3.9µm
_4359_,3.9µm
_4392_,3.9µm
_4424_,3.9µm
_4459_,3.9µm
net431,3.9µm
net519,3.9µm
net537,3.9µm
net560,3.9µm
_0818_,3.89µm
_2970_,3.885µm
_0209_,3.88µm
_0316_,3.88µm
_0396_,3.88µm
_0562_,3.88µm
_0702_,3.88µm
_0816_,3.88µm
_0831_,3.88µm
_1238_,3.88µm
_1501_,3.88µm
_1591_,3.88µm
_2924_,3.88µm
_2941_,3.88µm
_2983_,3.88µm
_3359_,3.88µm
_3735_,3.88µm
_3855_,3.88µm
_3859_,3.88µm
_4046_,3.88µm
_4090_,3.88µm
_4181_,3.88µm
_4192_,3.88µm
_4242_,3.88µm
_4382_,3.88µm
net43,3.88µm
net1064,3.88µm
net1099,3.88µm
net1238,3.88µm
_2815_,3.86µm
_0052_,3.845µm
_0470_,3.78µm
_1669_,3.78µm
_3846_,3.78µm
net1128,3.78µm
_4460_,3.77µm
_0015_,3.76µm
_0038_,3.76µm
_0141_,3.76µm
_0177_,3.76µm
_0221_,3.76µm
_0704_,3.76µm
_1233_,3.76µm
_1389_,3.76µm
_1432_,3.76µm
_1681_,3.76µm
_1769_,3.76µm
_1983_,3.76µm
_2407_,3.76µm
_2447_,3.76µm
_2691_,3.76µm
_3831_,3.76µm
_3944_,3.76µm
_3984_,3.76µm
_4039_,3.76µm
_4093_,3.76µm
net1018,3.76µm
_3802_,3.755µm
_2591_,3.74µm
_3014_,3.735µm
_2070_,3.68µm
_2192_,3.68µm
_2855_,3.68µm
_3145_,3.68µm
_3275_,3.68µm
_3973_,3.68µm
_4122_,3.68µm
_4339_,3.68µm
net512,3.68µm
_2658_,3.665µm
_0045_,3.66µm
_0053_,3.66µm
_0073_,3.66µm
_0139_,3.66µm
_0158_,3.66µm
_0279_,3.66µm
_0281_,3.66µm
_0299_,3.66µm
_0312_,3.66µm
_0319_,3.66µm
_1005_,3.66µm
_1027_,3.66µm
_2764_,3.66µm
_3198_,3.66µm
_4023_,3.66µm
_4077_,3.66µm
_0938_,3.64µm
_0952_,3.64µm
_1203_,3.64µm
_1249_,3.64µm
_1565_,3.64µm
_1660_,3.64µm
_2095_,3.64µm
_2137_,3.64µm
_2403_,3.64µm
_2703_,3.64µm
_3377_,3.64µm
_3791_,3.64µm
_3969_,3.64µm
_4135_,3.64µm
_4174_,3.64µm
net846,3.64µm
_1555_,3.625µm
_4177_,3.62µm
net938,3.62µm
_2813_,3.59µm
_4320_,3.59µm
_4372_,3.59µm
_0629_,3.56µm
_1795_,3.56µm
_1984_,3.56µm
_2362_,3.56µm
_2694_,3.56µm
_3474_,3.56µm
_3716_,3.56µm
_0003_,3.54µm
_0004_,3.54µm
_0020_,3.54µm
_0037_,3.54µm
_0044_,3.54µm
_0064_,3.54µm
_0074_,3.54µm
_0082_,3.54µm
_0119_,3.54µm
_0145_,3.54µm
_0153_,3.54µm
_0178_,3.54µm
_0179_,3.54µm
_0182_,3.54µm
_0280_,3.54µm
_0371_,3.54µm
_0405_,3.54µm
_0581_,3.54µm
_0620_,3.54µm
_0870_,3.54µm
_0998_,3.54µm
_1426_,3.54µm
_1719_,3.54µm
_1778_,3.54µm
_2335_,3.54µm
_2482_,3.54µm
_2669_,3.54µm
_2834_,3.54µm
_3088_,3.54µm
_3118_,3.54µm
_3256_,3.54µm
_3331_,3.54µm
_3452_,3.54µm
_3454_,3.54µm
_3473_,3.54µm
_3517_,3.54µm
_3882_,3.54µm
_4307_,3.54µm
_4314_,3.54µm
_4361_,3.54µm
_4398_,3.54µm
_4404_,3.54µm
net230,3.54µm
net604,3.54µm
net961,3.54µm
_0375_,3.52µm
_1807_,3.52µm
_2829_,3.52µm
_3005_,3.52µm
_3433_,3.52µm
_4253_,3.52µm
_4298_,3.52µm
_4305_,3.52µm
_4406_,3.52µm
_4446_,3.52µm
_4490_,3.52µm
_4491_,3.52µm
_3314_,3.47µm
_3776_,3.455µm
_3653_,3.45µm
_4488_,3.45µm
_3411_,3.445µm
_0116_,3.44µm
_0529_,3.44µm
_0851_,3.44µm
_1847_,3.44µm
_1977_,3.44µm
_2120_,3.44µm
